occupancy_rate,day_of_week,meal_period,hour,week_of_year,weather,temperature_f,patio_open,local_event,reservation_count,staff_count,discount_percent
0.8389,Friday,Lunch,12.4,35,Cloudy,77.9,Yes,Yes,17.0,6,15
0.4427,Saturday,Dinner,18.11,38,Rain,71.9,No,No,15.0,7,0
0.816,Wednesday,Dinner,20.46,27,Rain,71.7,Yes,No,8.0,7,25
0.7885,Saturday,Lunch,12.91,46,Clear,63.3,Yes,No,11.0,6,0
0.8287,Friday,Lunch,11.78,22,Cloudy,84.5,Yes,No,7.0,6,5
0.3445,Wednesday,Lunch,12.89,52,Heat,61.8,No,No,14.0,5,0
0.1574,Monday,Lunch,12.87,16,Rain,75.1,No,No,5.0,6,0
0.7663,Friday,Lunch,13.85,15,Rain,75.2,Yes,Yes,14.0,6,0
0.9411,Saturday,Dinner,18.95,45,Cloudy,59.7,No,Yes,42.0,12,30
0.7344,Thursday,Lunch,12.54,33,Clear,70.7,Yes,No,8.0,5,0
0.4872,Saturday,Brunch,10.16,51,Cloudy,50.2,No,No,13.0,6,0
0.5257,Thursday,Dinner,18.44,22,Heat,77.7,No,No,21.0,9,0
0.9434,Friday,Dinner,19.2,13,Clear,73.8,Yes,No,16.0,9,0
0.96,Friday,Dinner,17.39,25,Clear,76.0,Yes,Yes,26.0,8,10
0.1451,Tuesday,Lunch,13.47,38,Rain,58.2,No,No,6.0,5,0
0.1954,Tuesday,Lunch,13.95,37,Cloudy,75.4,No,No,5.0,6,0
0.8313,Tuesday,Dinner,19.85,24,Clear,77.3,Yes,No,18.0,7,0
0.8675,Wednesday,Dinner,19.69,11,Cloudy,52.7,No,No,13.0,6,20
0.99,Sunday,Dinner,17.68,49,Clear,48.2,Yes,No,19.0,9,30
0.6202,Tuesday,Lunch,13.42,43,Rain,47.1,Yes,No,11.0,5,25
0.3927,Friday,Lunch,11.16,17,Rain,65.0,No,No,16.0,7,0
0.7332,Friday,Lunch,12.86,15,Clear,65.8,No,No,6.0,5,15
0.8052,Monday,Dinner,19.53,46,Clear,46.6,No,No,27.0,8,10
0.9035,Saturday,Dinner,18.54,27,Clear,88.2,Yes,No,17.0,9,0
0.387,Monday,Lunch,12.79,49,Cloudy,35.0,No,No,12.0,6,0
0.8326,Tuesday,Dinner,19.35,34,Rain,70.2,Yes,No,14.0,8,15
0.4666,Saturday,Lunch,12.54,10,Rain,43.0,No,No,21.0,6,0
0.99,Thursday,Lunch,12.05,23,Clear,70.4,Yes,Yes,21.0,5,30
0.799,Saturday,Lunch,11.76,16,Clear,65.3,Yes,No,19.0,6,0
0.9188,Saturday,Dinner,19.15,15,Cloudy,86.9,Yes,Yes,26.0,10,10
0.9247,Sunday,Lunch,12.51,45,Cloudy,59.3,Yes,Yes,35.0,8,10
0.8633,Friday,Lunch,14.32,17,Clear,63.8,Yes,Yes,13.0,5,10
0.7061,Wednesday,Dinner,18.35,7,Clear,50.6,No,No,17.0,7,0
0.9524,Friday,Dinner,19.2,16,Clear,62.3,Yes,No,21.0,7,0
0.9735,Sunday,Dinner,18.55,11,Clear,57.5,No,Yes,35.0,10,15
0.9078,Monday,Dinner,20.26,30,Clear,66.7,Yes,No,18.0,8,20
0.8667,Saturday,Lunch,12.52,30,Cloudy,82.4,No,No,8.0,7,25
0.9488,Friday,Lunch,11.92,16,Cloudy,68.4,Yes,No,15.0,6,15
0.9403,Thursday,Dinner,18.19,19,Clear,81.9,Yes,No,15.0,8,0
0.9159,Sunday,Dinner,18.19,16,Clear,65.5,Yes,No,26.0,9,30
0.8407,Sunday,Lunch,13.06,33,Cloudy,75.5,Yes,No,7.0,6,10
0.4971,Saturday,Lunch,13.69,2,Rain,46.0,No,Yes,28.0,8,0
0.9449,Saturday,Lunch,11.71,16,Clear,79.7,Yes,Yes,,6,25
0.7504,Saturday,Brunch,10.55,48,Clear,47.2,Yes,No,9.0,8,0
0.3696,Thursday,Lunch,11.34,45,Rain,57.0,No,No,12.0,7,0
0.7079,Thursday,Lunch,12.73,9,Clear,52.2,Yes,Yes,15.0,6,0
0.9673,Saturday,Dinner,19.63,32,Clear,80.4,Yes,Yes,28.0,10,30
0.8231,Wednesday,Dinner,18.79,22,Clear,74.6,Yes,No,15.0,8,0
0.9758,Friday,Lunch,12.48,13,Clear,48.1,Yes,No,9.0,6,20
0.6198,Wednesday,Lunch,13.95,6,Rain,43.9,No,No,16.0,6,30
0.8771,Saturday,Dinner,18.27,38,Rain,64.0,No,No,23.0,7,30
0.9589,Friday,Dinner,19.12,26,Cloudy,73.5,Yes,No,16.0,8,30
0.6921,Sunday,Lunch,12.61,5,Cloudy,52.8,Yes,No,18.0,7,0
0.89,Friday,Dinner,19.88,32,Cloudy,79.5,Yes,Yes,24.0,10,0
0.8279,Thursday,Lunch,12.29,47,Clear,50.5,Yes,No,16.0,5,0
0.972,Sunday,Lunch,11.79,33,Cloudy,75.3,Yes,No,11.0,7,25
0.1825,Wednesday,Lunch,13.12,4,Rain,38.8,No,No,10.0,5,0
0.6117,Thursday,Dinner,20.03,38,,59.1,No,No,19.0,7,0
0.4864,Friday,Lunch,12.96,11,Rain,44.1,No,Yes,16.0,7,0
0.8343,Wednesday,Dinner,19.47,30,Rain,91.0,Yes,No,15.0,7,25
0.8786,Saturday,Brunch,11.72,21,Clear,80.6,Yes,No,14.0,9,20
0.9516,Wednesday,Lunch,13.07,29,Clear,78.6,Yes,Yes,16.0,6,10
0.3076,Wednesday,Lunch,13.38,33,Cloudy,68.9,No,No,10.0,6,0
0.9337,Wednesday,Dinner,19.39,19,Clear,84.9,Yes,No,17.0,6,10
0.9783,Monday,Lunch,11.74,11,Clear,56.8,Yes,No,11.0,6,30
0.9846,Saturday,Lunch,13.16,24,Clear,70.3,Yes,No,13.0,7,20
0.9793,Friday,Dinner,19.67,31,Clear,83.1,Yes,No,9.0,6,20
0.428,Sunday,Lunch,13.32,35,Clear,69.2,No,No,14.0,6,0
0.9547,Monday,Dinner,19.57,22,Clear,78.0,Yes,No,19.0,8,10
0.6446,Wednesday,Dinner,18.98,2,Rain,40.2,No,No,17.0,9,25
0.6866,Thursday,Dinner,20.14,19,Rain,72.4,Yes,No,12.0,6,0
0.8618,Wednesday,Dinner,18.69,18,Clear,64.5,Yes,No,12.0,7,0
0.7545,Friday,Dinner,18.83,29,Heat,96.7,Yes,Yes,22.0,8,0
0.8379,Sunday,Lunch,12.48,44,Clear,63.6,Yes,No,12.0,7,5
0.748,Sunday,Lunch,12.92,9,Clear,50.2,No,No,15.0,6,0
0.7114,Wednesday,Dinner,16.51,37,Clear,79.3,Yes,No,18.0,9,0
0.6066,Wednesday,Dinner,17.44,14,Clear,60.1,No,No,15.0,7,0
0.9011,Friday,Lunch,12.23,48,Cloudy,57.0,Yes,No,8.0,6,20
0.7943,Wednesday,Lunch,12.84,25,Cloudy,69.1,Yes,No,14.0,5,0
0.8415,Friday,Lunch,13.99,28,Heat,84.8,Yes,Yes,17.0,7,5
0.5002,Sunday,Brunch,11.57,42,Cloudy,54.5,No,No,15.0,6,0
0.4606,Thursday,Lunch,12.08,46,Cloudy,58.7,No,No,9.0,5,0
0.8122,Wednesday,Dinner,21.33,47,Rain,47.8,No,No,21.0,8,30
0.8241,Saturday,Lunch,13.11,16,Rain,58.9,No,No,14.0,7,30
0.4211,Sunday,Brunch,9.91,49,Cloudy,64.3,No,No,11.0,6,5
0.8298,Tuesday,Lunch,14.22,9,Clear,49.9,No,No,14.0,7,30
0.6872,Thursday,Dinner,20.42,5,Clear,45.1,No,No,,8,15
0.6668,Saturday,Brunch,10.55,17,Cloudy,67.6,No,No,10.0,8,10
0.9115,Friday,Lunch,12.52,30,Clear,86.3,Yes,No,9.0,5,10
0.8761,Friday,Dinner,18.34,33,Clear,71.3,Yes,Yes,19.0,8,0
0.5583,Monday,Dinner,18.35,4,Clear,50.3,No,No,16.0,8,0
0.7269,Monday,Lunch,12.84,29,Clear,60.2,No,No,9.0,5,15
0.6504,Friday,Dinner,19.74,4,Cloudy,58.2,No,No,22.0,10,0
0.9247,Saturday,Dinner,17.68,40,Clear,65.3,Yes,No,18.0,8,0
0.7667,Friday,Lunch,12.55,21,Clear,67.5,No,Yes,,7,0
0.1289,Wednesday,Lunch,11.8,2,Rain,49.2,No,No,12.0,6,0
0.4088,Friday,Lunch,12.45,21,Cloudy,70.3,No,No,4.0,5,0
0.6186,Sunday,Dinner,18.77,44,Rain,59.4,No,No,23.0,8,0
0.7519,Tuesday,Lunch,14.42,9,Cloudy,53.7,No,No,9.0,5,30
0.6697,Sunday,Lunch,13.07,29,Cloudy,70.4,Yes,No,17.0,8,0
0.8153,Friday,Dinner,19.37,50,Cloudy,48.0,No,Yes,31.0,8,0
0.8653,Saturday,Lunch,13.47,34,Clear,71.1,Yes,No,10.0,7,0
0.9148,Saturday,Dinner,18.68,29,Heat,86.5,Yes,Yes,28.0,8,0
0.8065,Saturday,Lunch,12.69,41,Clear,61.6,No,Yes,19.0,6,10
0.6419,Sunday,Brunch,12.1,30,Clear,75.5,No,No,6.0,7,5
0.8108,Saturday,Dinner,20.48,11,Cloudy,59.8,No,Yes,30.0,10,0
0.2071,Thursday,Lunch,12.8,40,Rain,55.6,No,No,8.0,7,0
0.9271,Saturday,Dinner,18.64,12,Clear,56.9,Yes,No,18.0,8,0
0.8411,Saturday,Dinner,19.31,5,Clear,42.0,No,No,27.0,10,0
0.9383,Monday,Lunch,12.33,35,Clear,73.9,Yes,No,11.0,5,30
0.7154,Wednesday,Lunch,12.65,47,Clear,56.2,No,No,8.0,7,30
0.9065,Saturday,Brunch,11.45,17,Clear,72.5,Yes,No,14.0,8,0
0.9856,Wednesday,Dinner,18.72,30,Clear,83.7,Yes,No,13.0,6,30
0.1774,Wednesday,Lunch,10.9,43,Rain,70.7,No,No,12.0,6,0
0.8381,Saturday,Dinner,19.26,27,Heat,77.8,No,No,23.0,8,0
0.9087,Saturday,Lunch,12.48,26,Clear,78.5,Yes,Yes,28.0,8,0
0.9363,Tuesday,Dinner,19.97,32,Clear,72.4,Yes,Yes,26.0,9,15
0.8516,Sunday,Dinner,20.21,30,Heat,93.6,Yes,No,20.0,9,30
0.757,Friday,Lunch,13.01,21,Rain,79.4,Yes,No,14.0,5,10
0.8703,Saturday,Dinner,22.39,40,Clear,57.2,Yes,No,21.0,9,0
0.5163,Friday,Dinner,19.94,38,Cloudy,71.1,No,No,19.0,8,0
0.8418,Sunday,Dinner,18.63,31,Rain,80.2,Yes,Yes,27.0,10,0
0.4473,Wednesday,Lunch,11.91,14,Cloudy,49.7,No,No,9.0,5,10
0.7419,Friday,Lunch,12.39,49,Clear,38.8,No,Yes,24.0,7,0
0.6876,Saturday,Lunch,11.79,50,Clear,56.6,No,Yes,17.0,7,0
0.2595,Tuesday,Lunch,11.87,33,Cloudy,74.1,No,No,7.0,6,0
0.7935,Thursday,Dinner,17.25,2,,40.3,Yes,No,20.0,9,0
0.7812,Saturday,Brunch,12.05,44,Cloudy,56.3,Yes,No,19.0,7,0
0.8483,Thursday,Lunch,12.49,29,Cloudy,83.4,Yes,No,12.0,5,20
0.8953,Thursday,Dinner,18.15,4,Clear,58.2,No,No,20.0,9,20
0.8594,Sunday,Dinner,19.72,24,Cloudy,86.1,Yes,No,19.0,9,0
0.4137,Sunday,Lunch,12.77,19,Heat,76.8,No,No,13.0,7,5
0.9432,Sunday,Brunch,10.76,23,Cloudy,80.7,Yes,No,11.0,6,25
0.8055,Friday,Lunch,13.13,15,Cloudy,61.5,Yes,No,11.0,6,0
0.7768,Sunday,Dinner,19.96,5,Rain,44.4,No,No,18.0,9,20
0.9266,Friday,Lunch,12.51,35,Clear,74.2,Yes,Yes,13.0,6,0
0.5186,Tuesday,Lunch,11.86,30,Cloudy,81.7,Yes,No,9.0,6,0
0.9204,Saturday,Lunch,12.59,51,Clear,36.5,No,No,18.0,8,30
0.501,Friday,Lunch,11.42,29,Clear,74.2,No,No,8.0,6,0
0.7154,Saturday,Lunch,12.98,49,Clear,44.3,No,Yes,26.0,8,0
0.8078,Thursday,Lunch,12.6,1,Clear,43.4,Yes,No,7.0,4,0
0.9527,Saturday,Lunch,13.6,44,Clear,39.2,No,Yes,19.0,8,25
0.4343,Sunday,Lunch,13.29,16,Rain,53.9,No,No,10.0,7,20
0.4303,Thursday,Lunch,13.69,8,Cloudy,52.3,No,No,9.0,5,0
0.4175,Tuesday,Lunch,12.01,31,Cloudy,63.2,No,No,5.0,3,30
0.8978,Tuesday,Lunch,11.93,29,Cloudy,76.4,Yes,No,6.0,6,25
0.8872,Saturday,Dinner,21.28,34,Clear,64.4,Yes,No,20.0,9,0
0.9615,Friday,Dinner,19.36,45,Clear,61.8,Yes,No,16.0,8,0
0.8569,Sunday,Lunch,13.43,2,Cloudy,47.2,Yes,No,28.0,9,20
0.5339,Friday,Lunch,12.27,35,Clear,80.8,No,No,10.0,6,0
0.9653,Wednesday,Dinner,17.91,16,Clear,70.8,Yes,No,13.0,8,30
0.9674,Sunday,Dinner,19.87,45,Clear,56.8,No,Yes,39.0,11,25
0.9839,Sunday,Dinner,18.49,43,Cloudy,64.4,No,Yes,37.0,9,25
0.6135,Wednesday,Lunch,11.72,26,Cloudy,72.6,Yes,No,6.0,7,0
0.9124,Friday,Dinner,19.0,15,Clear,54.8,Yes,No,13.0,8,0
0.8837,Thursday,Lunch,12.32,18,Clear,67.3,No,No,7.0,8,30
0.8923,Thursday,Dinner,17.58,17,Clear,63.2,No,No,11.0,8,30
0.6428,Tuesday,Lunch,14.03,30,Clear,72.4,Yes,No,13.0,7,0
0.8898,Tuesday,Dinner,19.38,14,Clear,63.7,Yes,No,22.0,8,0
0.8272,Monday,Dinner,18.89,18,Cloudy,73.5,No,Yes,22.0,7,0
0.6489,Sunday,Dinner,21.08,2,Cloudy,43.6,Yes,No,18.0,8,0
0.9081,Monday,Lunch,13.44,39,Clear,74.5,Yes,No,11.0,5,20
0.9819,Friday,Dinner,18.72,6,Clear,49.4,No,No,20.0,8,25
0.7945,Tuesday,Dinner,16.08,50,Clear,35.0,No,No,20.0,9,25
0.7646,Sunday,Lunch,12.99,52,Cloudy,49.7,No,Yes,24.0,8,0
0.4176,Wednesday,Dinner,18.0,40,Cloudy,56.1,No,No,19.0,9,0
0.5843,Wednesday,Dinner,19.93,14,Rain,57.7,No,No,20.0,8,5
0.8895,Wednesday,Lunch,13.89,24,Clear,76.2,Yes,No,10.0,6,15
0.9597,Thursday,Dinner,17.84,11,Clear,61.5,Yes,No,12.0,8,30
0.4589,Monday,Dinner,20.53,31,Heat,84.8,No,No,,8,0
0.9755,Tuesday,Dinner,19.81,48,Cloudy,66.0,Yes,Yes,18.0,7,25
0.4828,Sunday,Brunch,10.87,21,Cloudy,73.8,No,No,16.0,7,0
0.9124,Sunday,Brunch,10.43,26,Clear,79.8,Yes,No,14.0,6,20
0.9897,Saturday,Lunch,14.3,41,Clear,71.5,Yes,No,16.0,8,25
0.9127,Sunday,Dinner,21.19,39,Clear,67.9,Yes,No,18.0,10,0
0.5547,Friday,Lunch,13.13,20,Cloudy,81.2,No,No,10.0,6,0
0.758,Thursday,Lunch,11.92,31,Clear,78.6,Yes,No,4.0,5,5
0.9212,Wednesday,Lunch,12.43,35,Clear,86.2,Yes,No,10.0,5,25
0.9313,Tuesday,Dinner,19.03,2,Cloudy,45.8,No,No,27.0,9,15
0.6653,Tuesday,Dinner,18.2,31,Heat,90.4,No,No,12.0,8,30
0.9624,Saturday,Dinner,18.68,15,Clear,56.6,Yes,No,22.0,10,15
0.8932,Saturday,Lunch,12.66,12,Clear,68.5,Yes,Yes,25.0,8,0
0.5601,Tuesday,Lunch,12.74,37,Cloudy,68.2,No,No,9.0,6,15
0.8693,Saturday,Dinner,20.23,12,Clear,57.7,Yes,No,11.0,9,0
0.1356,Monday,Lunch,12.63,6,Rain,44.4,No,No,11.0,3,0
0.9384,Friday,Dinner,19.97,15,Rain,57.7,Yes,Yes,23.0,9,20
0.6553,Tuesday,Lunch,11.83,17,Clear,63.3,No,No,13.0,6,15
0.494,Monday,Lunch,12.73,16,Cloudy,71.1,Yes,No,6.0,3,0
0.8519,Friday,Lunch,13.13,39,Clear,81.6,Yes,No,5.0,4,10
0.6736,Monday,Dinner,19.27,43,Cloudy,52.5,No,No,19.0,9,10
0.5993,Wednesday,Lunch,13.32,50,Clear,39.8,No,No,13.0,8,5
0.6156,Tuesday,Dinner,19.01,52,Clear,43.9,No,No,21.0,8,0
0.2014,Thursday,Lunch,14.13,5,Rain,56.3,No,No,11.0,6,0
0.772,Tuesday,Lunch,11.06,19,Clear,87.3,Yes,No,14.0,6,0
0.7921,Thursday,Lunch,13.6,45,Clear,51.0,Yes,No,15.0,5,20
0.3363,Sunday,Lunch,11.67,42,Rain,69.6,No,No,18.0,8,0
0.2178,Friday,Lunch,12.19,51,Rain,45.0,No,No,7.0,7,0
0.477,Thursday,Dinner,18.08,17,Cloudy,53.7,No,No,12.0,6,0
0.4473,Monday,Lunch,11.35,45,Cloudy,39.9,No,Yes,16.0,6,0
0.5874,Thursday,Dinner,19.89,37,Rain,66.5,No,Yes,34.0,10,0
0.6137,Friday,Dinner,19.8,9,Rain,50.7,No,No,23.0,8,0
0.8828,Saturday,Dinner,18.49,29,Clear,81.7,Yes,Yes,27.0,7,0
0.5211,Sunday,Lunch,12.34,18,Cloudy,75.5,No,No,17.0,8,5
0.4932,Friday,Lunch,13.15,42,Rain,58.1,No,No,15.0,5,15
0.8769,Saturday,Dinner,19.05,24,Clear,78.5,Yes,No,23.0,8,0
0.99,Saturday,Dinner,18.97,33,Clear,79.1,Yes,Yes,35.0,11,25
0.7669,Thursday,Lunch,13.14,12,Cloudy,53.6,No,No,15.0,6,15
0.3328,Monday,Lunch,13.65,44,Rain,50.2,No,Yes,18.0,5,15
0.603,Tuesday,Lunch,11.86,18,Cloudy,56.9,No,No,9.0,6,15
0.6311,Friday,Dinner,19.34,2,Rain,56.1,Yes,No,15.0,8,0
0.8176,Wednesday,Dinner,20.14,20,Cloudy,86.4,Yes,No,18.0,8,0
0.9397,Friday,Dinner,19.21,41,Clear,61.5,No,No,29.0,8,20
0.6181,Thursday,Lunch,13.2,48,Clear,50.2,No,No,8.0,4,20
0.8155,Tuesday,Dinner,19.37,4,Clear,35.0,Yes,No,,7,0
0.7842,Wednesday,Dinner,19.49,46,Clear,60.7,No,No,16.0,7,25
0.6838,Sunday,Dinner,20.27,28,Cloudy,77.6,No,No,15.0,7,0
0.8041,Monday,Dinner,20.87,40,Rain,74.7,No,Yes,29.0,8,30
0.7342,Tuesday,Lunch,13.3,16,Clear,64.4,Yes,Yes,14.0,6,0
0.4866,Tuesday,Lunch,13.04,19,Cloudy,75.9,No,No,6.0,4,0
0.6643,Friday,Lunch,13.85,10,Clear,35.0,No,Yes,20.0,6,0
0.6758,Wednesday,Lunch,11.41,41,Clear,75.6,Yes,No,9.0,5,0
0.9471,Sunday,Dinner,19.46,12,Clear,54.8,Yes,No,21.0,11,25
0.3034,Thursday,Lunch,12.74,15,Cloudy,63.8,No,No,7.0,5,0
0.6005,Monday,Lunch,13.54,25,Cloudy,81.9,Yes,Yes,17.0,5,0
0.482,Monday,Dinner,18.4,12,Cloudy,48.1,No,Yes,29.0,9,0
0.8119,Sunday,Dinner,19.58,41,Rain,69.0,Yes,No,18.0,8,10
0.8771,Saturday,Dinner,20.14,39,Clear,63.9,No,Yes,30.0,9,15
0.8117,Tuesday,Lunch,13.72,21,Clear,74.6,Yes,Yes,11.0,5,0
0.4074,Tuesday,Lunch,12.25,1,Clear,35.9,No,No,11.0,5,0
0.7158,Sunday,Brunch,11.01,43,Cloudy,49.9,No,Yes,31.0,7,0
0.4963,Wednesday,Lunch,14.64,33,Clear,76.1,Yes,No,7.0,6,0
0.6625,Wednesday,Dinner,19.82,3,Clear,53.6,No,No,16.0,9,0
0.6215,Thursday,Dinner,19.32,27,Cloudy,66.8,No,No,14.0,8,0
0.7383,Thursday,Lunch,11.83,21,Clear,80.0,Yes,No,4.0,6,0
0.9406,Saturday,Lunch,12.24,34,Cloudy,72.3,Yes,Yes,26.0,8,30
0.7293,Tuesday,Dinner,20.71,31,Clear,70.8,Yes,No,16.0,7,0
0.5343,Friday,Lunch,14.14,9,Rain,55.5,No,No,15.0,6,20
0.5057,Tuesday,Lunch,12.6,31,Cloudy,82.8,Yes,No,7.0,4,0
0.796,Sunday,Lunch,13.03,42,Clear,60.6,Yes,No,10.0,7,0
0.9178,Monday,Lunch,12.31,31,Clear,80.6,Yes,No,8.0,7,30
0.8217,Friday,Lunch,13.22,43,Cloudy,63.2,Yes,Yes,24.0,6,0
0.8125,Saturday,Dinner,18.69,35,Heat,84.9,Yes,No,19.0,9,0
0.822,Thursday,Dinner,19.39,43,Cloudy,62.4,No,No,17.0,8,10
0.5468,Friday,Dinner,20.91,45,Rain,74.4,No,Yes,27.0,8,0
0.487,Wednesday,Dinner,21.4,8,Clear,55.0,No,No,13.0,9,0
0.8314,Wednesday,Lunch,11.52,24,Clear,72.7,Yes,No,11.0,6,10
0.5439,Wednesday,Dinner,17.91,11,Clear,49.9,No,No,15.0,7,0
0.6783,Thursday,Dinner,19.13,36,Clear,68.5,No,Yes,17.0,9,0
0.4946,Friday,Dinner,18.23,5,Rain,51.3,No,No,23.0,9,0
0.8658,Monday,Dinner,18.17,49,Cloudy,44.2,No,Yes,34.0,9,20
0.477,Sunday,Lunch,12.7,18,Cloudy,70.6,No,No,10.0,7,0
0.8826,Saturday,Dinner,20.63,50,Cloudy,56.1,Yes,No,28.0,9,0
0.9155,Tuesday,Dinner,19.52,12,Clear,49.9,No,No,14.0,8,25
0.8013,Monday,Dinner,19.11,33,Clear,79.6,Yes,No,18.0,9,0
0.6684,Wednesday,Lunch,14.97,6,Rain,50.1,Yes,No,6.0,6,30
0.6953,Sunday,Lunch,11.62,5,Rain,40.7,No,No,8.0,6,25
0.8701,Friday,Dinner,18.29,36,Cloudy,69.6,No,No,18.0,6,20
0.8015,Sunday,Dinner,20.66,8,Cloudy,47.3,No,No,32.0,8,15
0.89,Saturday,Brunch,11.1,32,Clear,61.7,Yes,No,15.0,6,0
0.7712,Friday,Lunch,12.62,27,Cloudy,72.1,Yes,No,10.0,6,0
0.3549,Tuesday,Lunch,11.68,1,Rain,46.8,No,No,9.0,5,20
0.8746,Sunday,Dinner,20.74,35,Clear,70.2,Yes,No,24.0,9,0
0.7433,Sunday,Dinner,19.25,51,Clear,48.9,No,No,17.0,9,0
0.6471,Tuesday,Lunch,13.91,52,Cloudy,55.1,No,No,9.0,6,30
0.8597,Friday,Dinner,17.25,3,Clear,49.8,Yes,No,19.0,7,0
0.7828,Sunday,Lunch,10.3,22,Clear,71.4,Yes,No,17.0,9,0
0.99,Sunday,Brunch,10.55,21,Clear,79.9,Yes,No,16.0,7,25
0.8016,Tuesday,Lunch,12.55,17,Cloudy,71.9,No,No,12.0,5,30
0.6904,Saturday,Lunch,12.65,52,Cloudy,41.2,No,No,13.0,7,20
0.2669,Monday,Lunch,12.72,23,Clear,82.5,No,No,10.0,4,0
0.8954,Saturday,Brunch,10.79,26,Clear,83.3,Yes,No,7.0,5,5
0.8285,Tuesday,Lunch,15.14,10,Clear,53.7,Yes,No,13.0,6,15
0.3281,Wednesday,Lunch,13.66,46,Rain,73.6,No,No,16.0,8,15
0.3042,Saturday,Lunch,13.35,52,Rain,50.8,No,No,8.0,5,0
0.7355,Friday,Lunch,12.7,2,Cloudy,44.2,No,No,11.0,6,15
0.1607,Tuesday,Lunch,12.43,51,Rain,52.7,No,No,8.0,6,0
0.8733,Saturday,Brunch,10.38,43,Clear,59.0,Yes,No,10.0,5,15
0.3487,Tuesday,Lunch,10.96,28,Heat,89.2,No,No,9.0,6,20
0.5774,Monday,Dinner,18.87,16,Heat,81.1,No,Yes,30.0,10,0
0.7573,Friday,Lunch,11.71,34,Heat,83.9,No,Yes,16.0,7,30
0.5438,Saturday,Lunch,14.05,22,Cloudy,68.3,No,No,,6,0
0.4202,Saturday,Brunch,10.37,15,Rain,59.9,No,Yes,13.0,7,0
0.3955,Sunday,Lunch,12.25,2,Cloudy,56.3,No,No,10.0,5,0
0.9734,Saturday,Dinner,20.57,4,Clear,59.3,Yes,Yes,34.0,10,0
0.8536,Friday,Dinner,19.48,28,Rain,81.4,Yes,Yes,35.0,9,0
0.3961,Friday,Dinner,19.22,43,Rain,54.2,No,No,16.0,7,0
0.8839,Saturday,Lunch,12.15,6,Cloudy,47.5,No,Yes,18.0,7,20
0.5805,Friday,Dinner,21.77,49,Clear,46.5,No,No,19.0,8,0
0.9119,Saturday,Lunch,12.95,35,Cloudy,68.2,Yes,No,14.0,7,20
0.8397,Sunday,Dinner,20.6,5,Clear,56.5,No,No,20.0,10,25
0.8245,Thursday,Dinner,20.05,7,Clear,42.5,No,No,,7,5
