likelihood_to_apply,GPA,GRE_score,field_of_study
Low,2.5349,151.9,Business
Low,2.9096,148.0,Social Sciences
Low,3.4223,148.3,STEM
High,3.0857,149.5,Business
Low,2.7106,148.2,Social Sciences
Medium,2.8297,155.5,Business
Very High,3.2878,163.6,Social Sciences
Medium,2.8247,145.5,STEM
Medium,3.1357,140.2,Arts
Low,3.0796,148.6,STEM
Very High,2.8506,166.0,Arts
High,3.7688,143.9,Arts
Very High,3.2728,159.9,Business
Very High,2.3995,160.1,Business
Very High,3.1258,145.6,Humanities
High,2.8472,152.9,Arts
Very High,3.3446,159.8,Social Sciences
Low,2.8043,146.7,Humanities
High,3.0269,147.8,Humanities
High,3.2305,145.4,Social Sciences
High,3.349,142.6,Social Sciences
Medium,2.6704,144.9,Social Sciences
Medium,2.9547,141.2,Humanities
Medium,2.9086,149.4,Arts
Medium,2.85,144.2,STEM
High,3.6445,150.7,Arts
High,3.1976,139.0,Business
Low,2.6505,151.3,Business
Medium,3.3661,154.6,Humanities
High,3.7616,136.2,Business
Very High,3.4037,151.6,STEM
Low,2.5656,157.2,Business
Low,2.9056,141.3,STEM
Very High,3.4807,160.1,Arts
Medium,2.8322,151.9,Arts
Very High,3.2104,144.6,Social Sciences
Very High,3.319,148.8,STEM
Medium,2.7602,152.8,Business
Medium,3.0451,149.7,Social Sciences
Low,2.0,152.7,Arts
Low,2.7281,143.2,STEM
Medium,2.9816,150.3,STEM
Low,2.6548,140.0,Arts
Very High,3.6008,148.5,Business
Low,2.5949,143.3,Business
Medium,2.9201,144.4,Social Sciences
Very High,3.1075,157.2,Business
Very High,3.538,156.3,Humanities
Low,2.593,153.1,Humanities
Very High,3.4466,142.1,Business
Medium,3.0679,147.1,Humanities
Very High,2.7422,157.1,Social Sciences
Medium,3.2164,150.1,Social Sciences
Very High,3.13,164.3,Business
Medium,2.8675,151.7,STEM
Low,3.0875,150.4,Business
Low,2.938,147.2,STEM
Very High,3.1019,150.0,Humanities
Medium,3.2821,148.2,Business
Very High,3.5855,153.8,STEM
Medium,2.658,155.4,STEM
Very High,3.7652,144.1,STEM
Low,2.4234,140.5,Humanities
Medium,3.0147,137.2,Business
Medium,3.2578,152.5,STEM
Low,3.1569,142.0,Business
Low,2.8601,135.1,Social Sciences
Very High,2.9962,151.7,Humanities
Low,2.9027,165.4,Arts
Low,2.871,149.1,Social Sciences
Very High,3.3436,154.6,Humanities
Very High,3.1818,149.7,STEM
Low,2.837,148.5,STEM
Very High,3.3601,155.2,Social Sciences
Low,3.1655,147.3,STEM
High,3.3316,150.9,Humanities
Very High,3.2714,151.3,Social Sciences
Medium,2.7923,144.8,Humanities
Medium,2.8806,155.6,STEM
High,3.31,148.0,Social Sciences
Medium,3.2651,144.2,Business
High,3.0577,152.7,Arts
Low,3.1031,143.3,STEM
Very High,3.4843,149.4,Arts
Very High,2.8703,149.1,Humanities
Very High,3.2443,156.3,Humanities
Very High,2.9982,152.3,Humanities
High,2.9931,149.0,STEM
Very High,3.4255,154.5,STEM
Very High,3.3357,158.2,Humanities
Very High,3.3318,152.8,Social Sciences
High,3.4934,149.2,Arts
Medium,3.0715,140.6,Social Sciences
High,3.2886,142.2,STEM
Medium,2.9627,147.2,Business
Medium,3.1711,145.2,Social Sciences
Very High,3.0219,148.0,Humanities
Low,3.0965,149.5,Business
Very High,3.2601,152.6,Arts
High,2.7959,148.7,Business
Very High,3.7518,152.3,Business
Medium,2.7342,149.6,Business
Low,2.6658,136.3,Arts
Medium,3.445,143.1,Social Sciences
Very High,3.3246,148.2,STEM
Medium,3.2696,141.3,Social Sciences
Very High,3.271,153.1,STEM
Low,3.0606,159.2,Business
Low,2.7699,157.1,Humanities
Very High,3.0895,147.8,Humanities
High,2.8422,158.9,STEM
Very High,3.3849,150.1,Business
Low,3.0163,147.0,Social Sciences
Medium,2.7935,145.2,Business
Very High,2.959,147.2,Humanities
High,3.2002,146.6,Social Sciences
Low,2.8794,150.3,STEM
Medium,2.7945,150.2,STEM
Very High,3.1446,149.2,Business
High,3.1451,152.0,Arts
Very High,2.8981,156.9,Humanities
Very High,2.9099,155.4,STEM
High,3.1408,139.5,Social Sciences
Low,2.589,132.5,Business
Low,2.6023,155.3,Business
Low,2.8286,140.3,STEM
Low,2.9945,147.7,STEM
High,3.1667,141.5,Business
High,3.5492,137.4,Social Sciences
Very High,3.3463,152.7,Social Sciences
Medium,3.0121,154.1,STEM
Low,3.0584,145.4,Humanities
Medium,2.7353,132.3,Arts
Medium,3.0585,145.6,Arts
Low,2.9698,151.7,Humanities
Medium,3.1706,139.5,Humanities
Low,2.7929,150.4,STEM
Medium,3.2352,149.1,Humanities
Very High,3.568,153.0,Social Sciences
Low,3.0289,150.0,Humanities
Very High,3.1965,142.8,Social Sciences
Very High,3.2913,157.0,STEM
Low,2.9328,148.1,STEM
Medium,3.1382,149.0,Social Sciences
High,3.0687,143.1,STEM
Medium,3.0967,146.3,STEM
Medium,2.8107,143.4,Arts
Low,3.0726,148.0,Social Sciences
Low,3.2282,160.3,Humanities
High,3.5412,140.2,Arts
High,3.3797,138.7,Arts
Very High,3.7718,158.8,Humanities
Low,2.8126,147.8,Business
High,3.3511,144.8,Social Sciences
Very High,3.1248,156.0,Social Sciences
High,3.7838,145.2,Social Sciences
Very High,2.7991,161.1,Business
Low,2.7888,153.6,Business
High,2.8677,146.0,Social Sciences
Very High,2.367,163.2,STEM
High,2.8919,145.2,Humanities
High,2.8153,154.0,STEM
Medium,3.114,151.1,Humanities
Very High,3.1769,157.7,Business
Very High,3.6808,159.4,Business
High,3.3767,149.4,Business
Medium,2.8751,144.3,Arts
High,2.7695,152.2,Humanities
Very High,3.2262,144.8,Business
Low,2.631,162.3,Humanities
Very High,3.6661,150.1,STEM
Very High,3.452,146.8,STEM
Low,2.9105,150.4,Social Sciences
Low,2.5019,140.4,Social Sciences
Medium,3.5093,142.8,Humanities
High,3.027,157.0,Business
Very High,3.4711,144.9,STEM
Low,2.5409,142.3,STEM
High,2.8677,152.7,Arts
Very High,3.0663,156.9,STEM
High,3.08,153.9,Humanities
Very High,2.9168,155.7,Humanities
Medium,3.2692,144.2,Humanities
Medium,2.7139,139.9,STEM
Medium,3.0178,159.0,STEM
Very High,3.1041,147.1,STEM
Medium,3.2335,147.5,Humanities
Very High,3.2983,157.8,Humanities
High,2.6952,152.8,STEM
Low,2.5607,152.1,Humanities
Very High,3.4843,163.3,Business
Medium,3.1737,145.0,STEM
Very High,2.8188,155.2,Humanities
High,3.5741,149.5,Business
Low,3.1026,150.9,Social Sciences
Very High,3.4519,159.1,Social Sciences
High,3.0868,152.5,Humanities
Very High,3.7414,152.7,Arts
Very High,3.6411,156.2,Business
Medium,2.9828,146.8,Humanities
Low,3.3837,143.7,Business
High,3.2766,142.4,Social Sciences
High,3.5141,136.4,Humanities
Low,2.7477,162.6,Humanities
High,3.2899,142.0,STEM
Very High,3.4122,147.7,Business
Low,2.487,147.4,Humanities
Medium,2.6759,151.2,Social Sciences
Low,2.3948,154.5,Arts
High,2.9761,154.8,STEM
Low,3.3003,145.4,Social Sciences
Very High,3.5581,148.1,STEM
High,3.0889,151.0,Business
Medium,3.5995,147.6,Business
Low,2.6113,159.7,Social Sciences
Very High,2.5051,152.4,Business
High,3.0464,154.0,Social Sciences
Very High,3.1908,153.5,Business
Very High,3.0539,156.8,Humanities
Medium,2.3856,150.4,Social Sciences
Medium,3.0353,140.7,Arts
High,2.6361,151.8,Social Sciences
High,3.2846,144.9,STEM
Medium,3.185,145.7,Humanities
Medium,2.7559,153.0,Arts
High,2.8958,157.3,Social Sciences
Very High,2.7167,149.3,STEM
High,3.044,151.2,Social Sciences
Very High,3.3783,160.3,Humanities
High,2.7408,150.7,STEM
Very High,3.2301,166.1,Business
Low,2.8904,152.9,Arts
Medium,2.8042,137.7,Humanities
High,3.0295,154.1,Social Sciences
Very High,2.7246,151.7,Social Sciences
Low,2.8828,157.6,STEM
High,2.6711,153.6,Arts
Very High,3.7099,148.3,Social Sciences
Low,3.0762,141.2,Social Sciences
Very High,2.8348,147.8,Business
Medium,3.1349,143.6,Social Sciences
Medium,3.0277,145.4,Humanities
High,2.992,153.0,STEM
Very High,3.2663,160.1,Business
High,3.3134,151.8,Arts
Low,2.8904,141.4,Humanities
Low,2.8755,152.1,Arts
High,2.9742,157.0,STEM
Low,2.3085,145.2,Humanities
Low,2.5669,148.3,Humanities
High,3.5135,149.3,Humanities
Medium,3.6049,144.1,Social Sciences
Medium,2.9828,153.4,Social Sciences
Very High,3.254,148.4,STEM
High,3.1668,151.9,Social Sciences
Very High,4.0758,143.4,STEM
High,3.4323,146.3,Business
Medium,3.0226,153.9,STEM
High,2.7508,146.7,STEM
Low,2.537,160.4,Humanities
High,3.1314,146.6,Humanities
Very High,2.8162,150.6,Arts
Low,2.5974,155.3,Humanities
Low,2.8522,139.9,Social Sciences
Medium,2.7094,137.7,Business
Medium,3.6187,139.2,Humanities
Very High,3.3542,157.4,STEM
Low,3.062,145.6,Humanities
Very High,3.5507,165.9,Arts
High,3.09,145.5,Social Sciences
Low,2.7817,150.4,Social Sciences
Very High,3.5649,159.2,STEM
Very High,3.2416,162.3,STEM
Very High,2.7239,162.6,Social Sciences
Low,3.0021,157.1,Humanities
Very High,2.777,155.9,STEM
Low,2.6104,153.0,Arts
Very High,3.3688,154.3,Business
Very High,3.6917,145.6,Humanities
Low,2.6052,143.8,Business
High,3.2495,149.2,STEM
Medium,2.8509,148.1,Humanities
Medium,2.9046,146.2,Humanities
Very High,2.87,153.7,Business
Very High,2.7808,155.4,Business
Medium,3.0805,149.8,Social Sciences
Very High,2.7917,158.8,Arts
High,3.1534,141.7,STEM
Very High,3.0481,147.9,Arts
Medium,2.9861,144.5,Arts
Low,2.7665,137.0,STEM
Medium,2.8751,148.6,Business
Very High,3.3127,148.4,STEM
Very High,3.2291,159.0,Social Sciences
Medium,2.7435,153.3,Humanities
Medium,3.0972,142.5,Humanities
Very High,3.3114,161.3,Arts
Low,2.5163,157.1,Business
Very High,3.2431,153.0,Humanities
Low,2.847,147.7,Business
Medium,3.252,142.9,Arts
Low,2.8139,146.7,STEM
Low,2.4718,156.3,Arts
Low,2.53,161.5,STEM
Very High,3.0804,159.2,Business
Medium,3.1499,146.0,Social Sciences
Low,2.7676,141.9,STEM
Medium,3.2743,150.1,Social Sciences
Low,2.5189,137.6,Humanities
Very High,3.0429,151.3,Social Sciences
High,2.6668,148.2,STEM
Low,2.8505,146.1,Humanities
Medium,3.0802,138.8,Arts
Very High,2.782,152.5,Social Sciences
Low,2.9383,145.7,STEM
High,3.3951,141.5,Social Sciences
Medium,2.8751,130.4,STEM
Medium,3.3391,149.0,Business
Low,2.6935,160.7,Business
Very High,3.2386,160.0,Humanities
High,3.5381,146.2,Social Sciences
Low,2.2528,145.2,Business
Low,2.8029,152.2,Humanities
Medium,3.2541,142.7,Business
High,2.9979,151.1,Humanities
Very High,3.1865,154.2,Business
Very High,2.8662,157.2,Humanities
Medium,3.093,148.5,Social Sciences
Medium,3.0135,147.8,Arts
High,3.4482,143.5,Humanities
Medium,3.1482,143.8,Humanities
Medium,3.1755,147.7,STEM
Very High,2.9293,151.6,Humanities
Very High,2.9044,155.1,Humanities
Medium,2.9225,143.9,STEM
Very High,3.1942,158.9,STEM
Low,2.9263,147.4,Humanities
High,3.1598,149.0,Business
Very High,3.7463,144.3,Humanities
Medium,3.3507,133.4,STEM
Very High,2.9575,154.9,Business
Very High,3.4591,154.0,STEM
Medium,2.9306,147.3,Social Sciences
Medium,2.3952,149.6,STEM
Low,2.7335,152.5,STEM
Low,2.4501,139.0,STEM
Medium,2.9491,145.7,Social Sciences
High,3.0706,154.4,STEM
High,3.6152,141.0,Social Sciences
High,3.172,151.1,Humanities
Medium,2.9926,140.3,Humanities
Very High,3.337,152.2,Social Sciences
Low,2.3384,148.9,Business
High,3.142,138.6,STEM
Very High,3.3178,156.8,Humanities
Low,2.579,144.4,STEM
High,3.4403,143.9,STEM
Medium,3.1758,150.5,Humanities
Low,2.9282,156.7,Humanities
High,3.2724,142.6,Arts
Very High,3.8104,149.6,Humanities
High,3.1243,152.0,Arts
Very High,3.1461,153.7,STEM
Medium,2.9137,150.3,STEM
High,2.7855,146.8,STEM
Medium,3.3373,143.8,STEM
Medium,2.7834,149.7,Humanities
High,3.0881,142.2,Humanities
Medium,2.9077,130.1,STEM
Very High,3.2219,152.0,Arts
Very High,3.1742,155.1,Business
Low,3.4054,133.8,Social Sciences
Medium,2.8971,142.6,STEM
Medium,2.9759,153.2,STEM
Very High,2.7431,162.6,STEM
Low,2.9187,149.3,STEM
Very High,3.1885,144.4,Humanities
Very High,3.3132,148.0,STEM
Low,2.7617,158.1,Social Sciences
Medium,3.3502,145.0,Arts
Very High,3.5098,144.0,Business
Very High,3.2004,146.0,Arts
High,3.681,143.0,STEM
Low,2.8104,150.0,Social Sciences
High,2.6558,159.8,Humanities
Medium,2.4804,151.3,STEM
High,3.5559,147.5,STEM
Very High,3.2795,147.3,Business
Low,3.0463,139.0,Humanities
Low,3.1566,154.9,Social Sciences
Low,2.6949,148.7,Humanities
Very High,3.8679,148.0,Social Sciences
Very High,3.107,170.0,STEM
High,3.1005,151.1,Social Sciences
Medium,3.303,144.3,STEM
Medium,3.2226,146.4,STEM
Very High,3.1381,156.7,Arts
Very High,2.805,149.9,Humanities
Medium,3.2195,139.8,Business
Very High,3.6827,155.2,Social Sciences
High,3.5065,144.8,Social Sciences
Very High,3.5879,161.4,STEM
Medium,2.8967,156.2,STEM
Medium,2.7396,146.3,STEM
Very High,3.0233,157.5,Business
High,3.0829,149.6,Business
Medium,3.424,154.7,Humanities
Medium,2.5087,152.3,Humanities
Medium,3.567,143.7,Arts
Medium,3.0127,145.0,STEM
Very High,2.9244,155.9,Social Sciences
Low,2.7322,147.0,Social Sciences
Medium,2.521,146.5,Business
Low,3.335,142.9,Arts
Very High,3.0887,151.9,STEM
Very High,2.6409,162.6,Arts
Low,2.6392,142.2,Business
Low,2.9543,149.3,STEM
Very High,3.6128,158.4,Social Sciences
Low,2.9793,148.7,Social Sciences
Low,2.5709,152.1,Arts
Medium,2.9839,142.2,STEM
High,2.975,152.0,Business
Low,2.1788,148.0,Social Sciences
Low,3.0468,155.6,Business
High,2.9888,156.9,Social Sciences
Very High,3.2933,166.1,Humanities
Very High,3.6719,153.0,Business
Very High,3.4346,151.3,Business
High,2.9763,150.4,Arts
Low,2.7012,146.9,STEM
Very High,3.9098,151.4,Business
Medium,3.084,147.2,STEM
Very High,3.0692,150.3,Social Sciences
Very High,3.0567,157.8,Humanities
High,3.1297,142.6,Social Sciences
Medium,3.0172,156.6,Humanities
Low,2.8762,157.8,Arts
Low,2.885,148.4,STEM
Medium,3.0538,135.3,Business
Medium,2.8861,145.2,Social Sciences
Very High,2.8305,157.6,STEM
Very High,3.0995,149.0,STEM
High,2.9808,142.7,Arts
High,3.5586,145.9,Arts
Low,2.1939,154.7,Arts
High,3.4231,152.7,Arts
Medium,3.4739,147.6,STEM
Low,2.3836,146.8,Social Sciences
Low,2.952,146.6,Business
Medium,2.9426,143.2,Humanities
Low,2.6023,159.7,Social Sciences
Medium,2.8091,147.1,Social Sciences
Very High,2.6998,157.1,Humanities
Very High,3.6401,159.1,Humanities
Very High,3.3719,155.7,STEM
High,3.4822,146.4,Humanities
High,3.3016,151.8,Humanities
Medium,2.6937,149.0,Humanities
Medium,2.8923,143.3,STEM
Very High,3.2253,151.3,Business
Low,2.6632,141.5,STEM
Very High,3.2988,156.9,Social Sciences
Medium,2.9857,146.1,Business
Very High,2.9415,150.5,Humanities
Medium,3.2981,151.0,Social Sciences
High,3.2105,147.5,Business
High,2.946,153.0,Humanities
High,3.4454,146.1,Business
Medium,2.7095,154.9,Business
Medium,3.2669,140.4,Humanities
High,3.2594,150.0,Humanities
Very High,2.9629,161.8,STEM
Medium,3.1717,142.7,Social Sciences
Medium,2.6537,144.8,Social Sciences
Very High,3.3681,152.5,Humanities
Low,3.0039,150.3,Humanities
Low,2.8929,151.5,Social Sciences
Very High,3.4091,152.4,STEM
Medium,2.8333,153.3,Humanities
Low,2.602,156.4,Social Sciences
Low,2.5533,151.8,Business
Medium,3.2636,147.6,STEM
Low,2.6441,153.6,Humanities
Very High,3.641,161.6,Arts
Low,2.3808,148.3,STEM
Very High,3.6218,142.8,Humanities
Very High,3.1339,156.4,STEM
High,3.0328,148.4,Humanities
Low,2.8856,135.0,Humanities
Very High,3.1957,154.7,Social Sciences
High,3.0522,145.7,Humanities
Very High,3.427,148.6,Arts
Low,3.1021,151.3,STEM
High,3.114,150.4,STEM
Very High,2.9452,153.8,Arts
Medium,3.0459,146.3,Humanities
Very High,3.1657,152.5,Arts
Low,2.5029,147.5,Humanities
Medium,2.6218,154.0,Business
Low,3.3087,153.2,Social Sciences
High,3.1207,143.1,Business
Low,3.0042,156.3,Arts
Medium,3.0706,145.7,Humanities
High,3.1788,154.4,STEM
High,2.8873,151.6,Social Sciences
Low,2.809,161.2,STEM
High,3.1289,147.7,STEM
High,2.7432,146.9,Social Sciences
Medium,3.1987,149.0,Humanities
Low,2.5054,147.2,Humanities
High,3.4026,154.4,Social Sciences
High,3.2198,138.6,Humanities
Medium,3.1487,142.3,STEM
Medium,3.3874,142.2,STEM
Very High,3.6116,155.4,STEM
Very High,3.3978,160.3,Humanities
Medium,2.46,148.5,STEM
High,2.6443,148.1,Social Sciences
Medium,2.8594,149.6,Social Sciences
Low,3.0732,156.8,Business
Low,3.2346,143.1,STEM
Low,2.8262,150.7,Humanities
High,3.1259,155.5,Business
Low,2.8165,152.4,Business
Low,2.8637,150.4,Arts
Low,2.6026,155.7,STEM
Medium,2.7614,131.5,STEM
Medium,2.6206,153.6,Arts
Medium,2.7441,144.9,Humanities
High,3.4106,137.2,Humanities
Low,2.7528,152.5,Business
Very High,3.9292,158.1,Business
Medium,3.2266,148.3,Arts
Very High,3.1253,155.4,Arts
High,2.7827,159.7,Business
Very High,3.2946,157.8,Social Sciences
Medium,2.8755,159.9,Arts
Medium,3.1047,154.0,STEM
Very High,3.9054,149.7,STEM
Low,3.033,138.7,Arts
Very High,3.4421,147.6,Social Sciences
Medium,2.8336,143.7,STEM
Very High,3.0531,163.3,STEM
Very High,3.6462,148.0,Arts
Very High,2.8587,150.0,Humanities
High,3.6599,152.8,Business
Very High,3.2971,149.5,STEM
Very High,2.8798,160.2,Business
High,3.2723,145.1,Business
Medium,3.384,150.4,Social Sciences
High,3.2688,144.3,Social Sciences
High,2.5489,140.6,STEM
High,2.8258,145.2,Arts
Medium,2.9833,148.9,Humanities
Low,3.0402,146.4,Arts
Medium,3.2685,144.7,Social Sciences
High,3.123,140.0,Business
Medium,2.626,148.6,Business
Medium,3.1895,139.4,Business
Low,3.2651,154.1,Arts
High,3.2485,149.7,Social Sciences
Medium,3.4196,139.7,STEM
Very High,3.3385,147.2,Business
High,3.2154,144.3,Business
Medium,3.0415,151.3,Humanities
Medium,2.519,157.9,STEM
Low,3.2057,136.9,Humanities
Very High,3.1328,149.9,Social Sciences
Medium,3.1538,148.1,Social Sciences
Low,2.6453,153.6,Humanities
Low,2.7095,150.6,Business
High,3.4105,144.3,STEM
High,3.0516,147.1,Social Sciences
High,3.2884,144.0,Social Sciences
High,3.0739,156.2,STEM
Medium,3.0744,149.3,Business
Very High,3.3728,161.6,Arts
High,2.8951,148.8,Social Sciences
Low,3.0962,144.6,Business
Medium,2.9128,139.3,Arts
Medium,2.9219,137.4,Business
High,2.963,138.8,STEM
High,3.1375,150.9,Arts
Medium,2.9074,152.5,Social Sciences
Medium,3.4771,138.9,Social Sciences
High,2.7708,155.0,STEM
High,3.0032,146.0,Humanities
Low,2.9202,150.1,STEM
Very High,3.5399,159.7,STEM
Very High,3.1292,155.0,Social Sciences
Very High,3.4035,147.4,Business
Low,2.5767,143.4,Arts
Medium,3.1523,135.1,Social Sciences
Medium,3.3568,144.5,Arts
Low,3.0916,147.8,Arts
Very High,3.4146,142.7,Business
High,2.8947,148.3,STEM
Very High,3.5275,149.7,Business
Medium,3.8197,147.7,Arts
High,2.9454,144.9,Business
Medium,2.9183,150.3,Social Sciences
Very High,3.542,152.1,Humanities
